Nom	Robot	Date	SittingDuck	SittingDuck dev.	Fire	Fire dev.	RamFire	RamFire dev.	Walls	Walls dev.	SuperWalls	SuperWalls dev.	Total	Total dev.	Tourney 1	Tourney 2
	K.Strider 1.0	2013-04-22 21:50	100.0	0.0	90.74	0.82	93.77	0.88	69.11	1.8	47.47	2.47	80.22	0.66	1
	K.Strider 2.0	2013-06-10 20:56	100.0	0.0	92.52	0.9	93.69	0.63	85.2	1.19	63.56	4.83	87.02	1.02
L 	L.Itoune_v1 1.0	2013-03-12 00:01	100.0	0.0	43.02	2.29	7.82	0.33	5.14	0.4	1.87	0.16	31.57	0.16
	L.Itoune_v1 2.0	2013-03-25 15:48	100.0	0.0	81.84	2.48	9.86	0.26	5.6	0.89	2.85	0.62	40.03	0.54
	L.Itoune_v3 3.1		100.0	0.0	83.05	2.06	61.24	2.88	6.92	0.64	3.59	0.52	50.96	0.73
	L.Itoune_v4 4.0	2013-05-28 18:38	100.0	0.0	46.27	2.1	54.54	3.14	78.83	1.79	4.21	1.19	56.77	0.87
	L.Itoune_v5 5.0	2013-06-11 00:06	100.0	0.0	98.43	0.3	95.84	1.47	96.44	0.32	78.68	3.37	93.88	0.74
M 	M.RAT1 1.2	2013-03-12 00:48	99.62	0.0	82.52	1.49	68.38	1.07	11.29	2.73	11.56	1.16	54.67	0.7
	M.RAT5 1.0	2013-04-22 21:20	100.0	0.0	90.93	0.36	79.05	2.39	22.98	2.34	46.71	3.5	67.93	0.97	1
	M.RAT5bis 1.0	2013-05-21 00:30	100.0	0.0	92.11	1.06	85.81	1.19	93.95	0.67	57.28	1.61	85.83	0.47
	M.RAT5ter 1.0	2013-06-10 23:44	100.0	0.0	96.96	0.38	94.19	0.82	95.95	0.48	64.02	3.1	90.22	0.65		2
N 	N.Précurseur 1.0	2013-03-11 20:12	100.0	0.0	85.09	2.34	74.13	1.59	75.5	1.66	25.36	2.78	72.02	0.86
	N.Précurseur 2.0	2013-06-10 23:42	100.0	0.0	96.89	0.27	82.92	0.27	93.92	0.81	72.64	3.37	89.27	0.71
O 	O.Paichao 1.0	2013-02-17 19:08	100.0	0.0	82.82	1.27	15.4	0.37	1.93	0.34	3.08	0.37	40.65	0.28
	O.Paichao 2.0	2013-03-25 17:58	100.0	0.0	88.8	1.78	16.07	0.37	3.29	0.85	3.38	0.39	42.31	0.41
	O.Paichao 3.0	2013-04-22 20:57	100.0	0.0	87.49	0.6	69.3	1.18	7.8	2.28	11.78	0.71	55.27	0.53
